Time,Flags O2_Air,Value O2_Air,Unit O2_Air,Temp O2_Air,T.Unit O2_Air,Flags O2_2,Value O2_2,Unit O2_2,Temp O2_2,T.Unit O2_2,Flags O2_3,Value O2_3,Unit O2_3,Temp O2_3,T.Unit O2_3,Flags O2_4,Value O2_4,Unit O2_4,Temp O2_4,T.Unit O2_4,Flags pH_1,Value pH_1,Unit pH_1,Temp pH_1,T.Unit pH_1,Flags pH_2,Value pH_2,Unit pH_2,Temp pH_2,T.Unit pH_2,Flags pH_3,Value pH_3,Unit pH_3,Temp pH_3,T.Unit pH_3,Flags pH_4,Value pH_4,Unit pH_4,Temp pH_4,T.Unit pH_4,D130
"13/03/2015 0:07:25","0","53,7","mV","25,0","°C","0","-449,9","mV","25,0","°C","16","0,2","mV","22,8","°C","0","-515,2","mV","25,0","°C","16","-51,8","mV","25,3","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,4","mV","25,0","°C",""
"13/03/2015 0:07:45","0","53,7","mV","25,0","°C","0","-457,4","mV","25,0","°C","16","0,2","mV","22,8","°C","0","-527,0","mV","25,0","°C","16","-51,8","mV","25,3","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:08:05","0","53,7","mV","25,0","°C","0","-463,0","mV","25,0","°C","16","0,2","mV","22,9","°C","0","-533,8","mV","25,0","°C","16","-51,8","mV","25,3","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,2","mV","25,0","°C",""
"13/03/2015 0:08:25","0","53,7","mV","25,0","°C","0","-470,2","mV","25,0","°C","16","0,2","mV","22,9","°C","0","-535,0","mV","25,0","°C","16","-51,7","mV","25,3","°C","0","-50,6","mV","25,0","°C","0","-50,2","mV","25,0","°C","0","-49,2","mV","25,0","°C",""
"13/03/2015 0:08:45","0","53,6","mV","25,0","°C","0","-473,5","mV","25,0","°C","16","0,2","mV","22,9","°C","0","-539,6","mV","25,0","°C","16","-51,8","mV","25,3","°C","0","-50,7","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,4","mV","25,0","°C",""
"13/03/2015 0:09:05","0","53,6","mV","25,0","°C","0","-479,9","mV","25,0","°C","16","0,2","mV","22,9","°C","0","-546,1","mV","25,0","°C","16","-51,8","mV","25,3","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
"13/03/2015 0:09:25","0","53,7","mV","25,0","°C","0","-485,7","mV","25,0","°C","16","0,2","mV","22,9","°C","0","-551,8","mV","25,0","°C","16","-51,8","mV","25,3","°C","0","-50,6","mV","25,0","°C","0","-50,2","mV","25,0","°C","0","-49,1","mV","25,0","°C",""
"13/03/2015 0:09:45","0","53,7","mV","25,0","°C","0","-491,8","mV","25,0","°C","16","0,2","mV","22,9","°C","0","-558,4","mV","25,0","°C","16","-51,8","mV","25,3","°C","0","-50,8","mV","25,0","°C","0","-50,2","mV","25,0","°C","0","-49,1","mV","25,0","°C",""
"13/03/2015 0:10:05","0","53,6","mV","25,0","°C","0","-499,4","mV","25,0","°C","16","0,2","mV","22,9","°C","0","-563,5","mV","25,0","°C","16","-51,6","mV","25,3","°C","0","-50,6","mV","25,0","°C","0","-50,2","mV","25,0","°C","0","-49,2","mV","25,0","°C",""
"13/03/2015 0:10:25","0","53,7","mV","25,0","°C","0","-502,7","mV","25,0","°C","16","0,2","mV","22,9","°C","0","-569,7","mV","25,0","°C","16","-51,8","mV","25,3","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
