Time,Flags O2_Air,Value O2_Air,Unit O2_Air,Temp O2_Air,T.Unit O2_Air,Flags O2_2,Value O2_2,Unit O2_2,Temp O2_2,T.Unit O2_2,Flags O2_3,Value O2_3,Unit O2_3,Temp O2_3,T.Unit O2_3,Flags O2_4,Value O2_4,Unit O2_4,Temp O2_4,T.Unit O2_4,Flags pH_1,Value pH_1,Unit pH_1,Temp pH_1,T.Unit pH_1,Flags pH_2,Value pH_2,Unit pH_2,Temp pH_2,T.Unit pH_2,Flags pH_3,Value pH_3,Unit pH_3,Temp pH_3,T.Unit pH_3,Flags pH_4,Value pH_4,Unit pH_4,Temp pH_4,T.Unit pH_4,D130
"12/03/2015 0:01:24","0","54,4","mV","25,0","°C","0","-1028,6","mV","25,0","°C","16","0,3","mV","22,6","°C","0","-1172,3","mV","25,0","°C","16","-52,9","mV","25,3","°C","0","-51,7","mV","25,0","°C","0","-51,1","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"12/03/2015 0:01:44","0","54,4","mV","25,0","°C","0","-1019,3","mV","25,0","°C","16","0,3","mV","22,6","°C","0","-1162,9","mV","25,0","°C","16","-52,7","mV","25,3","°C","0","-51,5","mV","25,0","°C","0","-50,9","mV","25,0","°C","0","-49,7","mV","25,0","°C",""
"12/03/2015 0:02:04","0","54,4","mV","25,0","°C","0","-1030,5","mV","25,0","°C","16","0,3","mV","22,7","°C","0","-1175,0","mV","25,0","°C","16","-53,3","mV","25,3","°C","0","-52,0","mV","25,0","°C","0","-51,4","mV","25,0","°C","0","-50,3","mV","25,0","°C",""
"12/03/2015 0:02:24","0","54,4","mV","25,0","°C","0","-1030,7","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-1174,8","mV","25,0","°C","16","-53,2","mV","25,3","°C","0","-51,9","mV","25,0","°C","0","-51,3","mV","25,0","°C","0","-50,2","mV","25,0","°C",""
"12/03/2015 0:02:44","0","54,4","mV","25,0","°C","0","-1027,0","mV","25,0","°C","16","0,3","mV","22,7","°C","0","-1170,8","mV","25,0","°C","16","-52,9","mV","25,3","°C","0","-51,7","mV","25,0","°C","0","-51,1","mV","25,0","°C","0","-49,9","mV","25,0","°C",""
"12/03/2015 0:03:04","0","54,4","mV","25,0","°C","0","-1021,0","mV","25,0","°C","16","0,3","mV","22,6","°C","0","-1164,3","mV","25,0","°C","16","-52,6","mV","25,3","°C","0","-51,5","mV","25,0","°C","0","-50,9","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
"12/03/2015 0:03:24","0","54,4","mV","25,0","°C","0","-1027,5","mV","25,0","°C","16","0,3","mV","22,7","°C","0","-1171,3","mV","25,0","°C","16","-53,3","mV","25,3","°C","0","-51,9","mV","25,0","°C","0","-51,4","mV","25,0","°C","0","-50,4","mV","25,0","°C",""
"12/03/2015 0:03:44","0","54,4","mV","25,0","°C","0","-1018,2","mV","25,0","°C","16","0,3","mV","22,7","°C","0","-1161,2","mV","25,0","°C","16","-52,6","mV","25,3","°C","0","-51,5","mV","25,0","°C","0","-50,9","mV","25,0","°C","0","-49,7","mV","25,0","°C",""
"12/03/2015 0:04:04","0","54,4","mV","25,0","°C","0","-1026,5","mV","25,0","°C","16","0,3","mV","22,7","°C","0","-1168,8","mV","25,0","°C","16","-52,8","mV","25,4","°C","0","-51,6","mV","25,0","°C","0","-51,0","mV","25,0","°C","0","-49,7","mV","25,0","°C",""
"12/03/2015 0:04:24","0","54,4","mV","25,0","°C","0","-1018,5","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-1161,1","mV","25,0","°C","16","-52,7","mV","25,4","°C","0","-51,6","mV","25,0","°C","0","-51,0","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
